product_name,price,star_rating,review_text,Dominant_Topic,Topic_Confidence
Auralink Air One,79.99,4.6 out of 5 stars,Balanced sound with reliable battery life for daily commuting.,Audio Quality,0.9147
PulseBuds Pro S,119.0,4.8 out of 5 stars,Excellent noise cancellation and premium fit during workouts.,Comfort & Fit,0.9018
NovaPods Lite,59.5,4.2 out of 5 stars,Compact case and stable Bluetooth pairing for laptops and phones.,Connectivity & Usability,0.916
EchoBeat Max,149.99,4.7 out of 5 stars,Strong bass response and intuitive touch controls.,Audio Quality,0.902
WaveSync Mini,45.0,4.1 out of 5 stars,Affordable choice with surprisingly clear microphone quality.,Audio Quality,0.9023
ZenAudio Fit,89.95,4.4 out of 5 stars,Secure fit for runners and dependable sweat resistance.,Connectivity & Usability,0.9012
CloudTune Ultra,139.49,4.5 out of 5 stars,"Crisp highs, rich mids, and fast charging in under an hour.",Connectivity & Usability,0.916
VibeCore Studio,99.99,4.3 out of 5 stars,Comfortable for long listening sessions and video calls.,Comfort & Fit,0.8883
SonicNest Elite,159.0,4.9 out of 5 stars,Top-tier soundstage with excellent transparency mode.,Connectivity & Usability,0.8862
LoopPods Neo,69.99,4.0 out of 5 stars,Good all-round option for students and remote workers.,Connectivity & Usability,0.904
AeroPulse Go,54.75,3.9 out of 5 stars,Entry-level price point with a lightweight portable design.,Audio Quality,0.9162
BassBloom Flex,84.2,4.2 out of 5 stars,Warm sound signature and comfortable ear tips for long wear.,Comfort & Fit,0.9247
QuietSphere Plus,129.9,4.6 out of 5 stars,Impressive passive isolation and dependable app controls.,Comfort & Fit,0.9018
DriftAudio Core,72.4,4.1 out of 5 stars,Clear vocals and strong value for budget-conscious shoppers.,Comfort & Fit,0.914
OrbitSound Prime,109.3,4.5 out of 5 stars,Reliable connectivity across devices and polished overall audio quality.,Connectivity & Usability,0.9008
